Ensembl ID,Gene,Description,Biotype,log2 FC,T Statistic,p-value,FDR-corrected p-value,DE_Direction,zdb_id,ensembl_new,ncbi_id
ENSDARG00000038615,pip4p1a,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1a [Source:ZFIN;Acc:ZDB-GENE-051113-312]",protein_coding,0.24372655899999998,4.179509783,0.00028555700000000003,0.01069701,1,ZDB-GENE-051113-312,ENSDARG00000038615,556136
ENSDARG00000028786,chst12a,carbohydrate (chondroitin 4) sulfotransferase 12a [Source:ZFIN;Acc:ZDB-GENE-081022-13],protein_coding,-0.261398964,-4.161656551,0.00029932099999999996,0.01106563,-1,ZDB-GENE-081022-13,ENSDARG00000028786,407076
ENSDARG00000077567,angel1,angel homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-111020-12],protein_coding,-0.8613741659999999,-4.1486278510000005,0.000309778,0.011326312,-1,ZDB-GENE-111020-12,ENSDARG00000077567,569547
ENSDARG00000102367,ndfip1l,"Nedd4 family interacting protein 1, like [Source:ZFIN;Acc:ZDB-GENE-040718-207]",protein_coding,-0.348063929,-4.1431000110000005,0.000314323,0.011452843999999998,-1,ZDB-GENE-040718-207,ENSDARG00000102367,436776
ENSDARG00000086645,hs3st3b1b,heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1b [Source:ZFIN;Acc:ZDB-GENE-070202-5],protein_coding,-0.224328202,-4.142917018,0.000314474,0.011454965,-1,ZDB-GENE-070202-5,ENSDARG00000086645,558084
ENSDARG00000009106,serinc1,serine incorporator 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4415],protein_coding,-0.27275441300000003,-4.141787991,0.000315411,0.011466981999999999,-1,ZDB-GENE-030131-4415,ENSDARG00000009106,325690
ENSDARG00000088411,notum2,notum pectinacetylesterase 2 [Source:ZFIN;Acc:ZDB-GENE-120215-77],protein_coding,0.6388383679999999,4.141533241,0.000315623,0.011469558999999999,1,ZDB-GENE-120215-77,ENSDARG00000088411,566040
ENSDARG00000101126,atad5b,"ATPase family, AAA domain containing 5b [Source:ZFIN;Acc:ZDB-GENE-030131-338]",protein_coding,0.628754502,4.130345325,0.000325063,0.011681998999999998,1,ZDB-GENE-030131-338,ENSDARG00000101126,321619
ENSDARG00000011170,ndrg2,NDRG family member 2 [Source:ZFIN;Acc:ZDB-GENE-041212-15],protein_coding,0.20751281300000002,4.102463593,0.000349819,0.012265366000000002,1,ZDB-GENE-041212-15,ENSDARG00000011170,494050
ENSDARG00000037613,lgals8b,galectin 8b [Source:ZFIN;Acc:ZDB-GENE-120727-7],protein_coding,0.856844267,4.101261025,0.00035728199999999994,0.012418768,1,ZDB-GENE-120727-7,ENSDARG00000037613,100334749
ENSDARG00000008966,tbl1xr1b,transducin (beta)-like 1 X-linked receptor 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1192],protein_coding,-0.198970256,-4.070223151,0.000380775,0.012947391,-1,ZDB-GENE-040426-1192,ENSDARG00000008966,393581
ENSDARG00000045248,h3f3d,"H3 histone, family 3D [Source:ZFIN;Acc:ZDB-GENE-040426-1023]",protein_coding,-0.306443578,-4.050738429,0.000400778,0.013371828999999998,-1,ZDB-GENE-040426-1023,ENSDARG00000045248,394076
ENSDARG00000116988,FP236542.1, ,protein_coding,0.421776792,4.0462423780000005,0.000405539,0.013462941,1,undef,ENSDARG00000116988,undef
ENSDARG00000090844,CABZ01054965.1, ,protein_coding,0.483906344,4.034505775,0.000418231,0.013687995,1,undef,ENSDARG00000090844,undef
ENSDARG00000036944,ensaa,endosulfine alpha a [Source:ZFIN;Acc:ZDB-GENE-060503-181],protein_coding,0.32989781100000004,4.030659264,0.00042247599999999997,0.013775461000000001,1,ZDB-GENE-060503-181,ENSDARG00000036944,569530
ENSDARG00000112220,BX547938.1, ,protein_coding,0.578157501,4.028287153,0.00042511400000000004,0.013828421,1,undef,ENSDARG00000112220,undef
ENSDARG00000074572,zgc:56304,zgc:56304 [Source:ZFIN;Acc:ZDB-GENE-040426-2698],protein_coding,-0.209252222,-4.023933269,0.00043,0.013924575,-1,ZDB-GENE-040426-2698,ENSDARG00000074572,406683
ENSDARG00000057374,sfxn3,sideroflexin 3 [Source:ZFIN;Acc:ZDB-GENE-070112-2092],protein_coding,-0.260039627,-4.019621906999999,0.000434892,0.014029307,-1,ZDB-GENE-070112-2092,ENSDARG00000057374,791182
ENSDARG00000030139,sdhdb,"succinate dehydrogenase complex, subunit D, integral membrane protein b [Source:ZFIN;Acc:ZDB-GENE-040822-17]",protein_coding,-0.230923888,-4.003830054,0.000453285,0.014410457,-1,ZDB-GENE-040822-17,ENSDARG00000030139,445500
ENSDARG00000103195,dync1i2b,"dynein, cytoplasmic 1, intermediate chain 2b [Source:ZFIN;Acc:ZDB-GENE-090121-1]",protein_coding,-0.258852869,-3.995237967,0.00046361300000000004,0.01461756,-1,ZDB-GENE-090121-1,ENSDARG00000103195,561612
ENSDARG00000055912,nipa2,non imprinted in Prader-Willi/Angelman syndrome 2 (human) [Source:ZFIN;Acc:ZDB-GENE-040426-2134],protein_coding,-0.41456869,-3.987960479,0.000472541,0.014797615,-1,ZDB-GENE-040426-2134,ENSDARG00000055912,406399
ENSDARG00000100264,thumpd1,THUMP domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1805],protein_coding,0.527079785,3.984980947,0.000476245,0.014864951999999999,1,ZDB-GENE-040426-1805,ENSDARG00000100264,402955
ENSDARG00000061233,abcc5,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5 [Source:ZFIN;Acc:ZDB-GENE-050517-17]",protein_coding,-0.278487197,-3.979000146,0.00048376699999999996,0.01501948,-1,ZDB-GENE-050517-17,ENSDARG00000061233,336147
ENSDARG00000104839,mansc1,MANSC domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-070209-77],protein_coding,0.43010114200000005,3.9756293769999997,0.00048805699999999997,0.015122077,1,ZDB-GENE-070209-77,ENSDARG00000104839,100009658
ENSDARG00000007737,zyg11,zyg-11 homolog (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-041014-17],protein_coding,-0.261911928,-3.967153086,0.0004990130000000001,0.015326062,-1,ZDB-GENE-041014-17,ENSDARG00000007737,555349
ENSDARG00000075565,lzts1,"leucine zipper, putative tumor suppressor 1 [Source:ZFIN;Acc:ZDB-GENE-081104-431]",protein_coding,0.401878256,3.965354295,0.000501369,0.015361885,1,ZDB-GENE-081104-431,ENSDARG00000075565,undef
ENSDARG00000112924,ccdc6a,coiled-coil domain containing 6a [Source:ZFIN;Acc:ZDB-GENE-030131-7848],protein_coding,0.806716344,3.9612770760000005,0.00050675,0.01547265,1,ZDB-GENE-030131-7848,ENSDARG00000043334,335905
ENSDARG00000096375,march7,membrane-associated ring finger (C3HC4) 7 [Source:ZFIN;Acc:ZDB-GENE-080204-121],protein_coding,0.27356056100000004,3.958400588,0.00051058,0.015550898,1,ZDB-GENE-080204-121,ENSDARG00000057772,100136862
ENSDARG00000040643,ccr10,chemokine (C-C motif) receptor 10 [Source:ZFIN;Acc:ZDB-GENE-040718-424],protein_coding,0.8902456320000001,3.950134999,0.000521746,0.015771553,1,ZDB-GENE-040718-424,ENSDARG00000040643,436948
ENSDARG00000117093,fam69b,"family with sequence similarity 69, member B [Source:ZFIN;Acc:ZDB-GENE-080721-1]",protein_coding,-0.291970955,-3.942531099,0.00053223,0.015958705,-1,ZDB-GENE-080721-1,ENSDARG00000117093,567731
ENSDARG00000116883,BX511146.1, ,protein_coding,0.957028254,3.93466932,0.0005432869999999999,0.016159921,1,undef,ENSDARG00000116883,undef
ENSDARG00000055027,pomt2,protein-O-mannosyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-070112-1002],protein_coding,-0.47928546899999996,-3.933263852,0.000545288,0.016197824,-1,ZDB-GENE-070112-1002,ENSDARG00000055027,563878
ENSDARG00000104372,gnb1b,"guanine nucleotide binding protein (G protein), beta polypeptide 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2855]",protein_coding,-0.163048163,-3.9301269889999997,0.000549779,0.016289642,-1,ZDB-GENE-040426-2855,ENSDARG00000104372,406796
ENSDARG00000061365,hepacam2,HEPACAM family member 2 [Source:ZFIN;Acc:ZDB-GENE-060503-135],protein_coding,1.213698205,3.920122656,0.000564346,0.016572546,1,ZDB-GENE-060503-135,ENSDARG00000061365,558612
ENSDARG00000051888,ist1,increased sodium tolerance 1 homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-179],protein_coding,-0.21716934899999998,-3.914585981,0.000572571,0.016716837,-1,ZDB-GENE-030131-179,ENSDARG00000051888,321460
ENSDARG00000059424,rnf215,ring finger protein 215 [Source:ZFIN;Acc:ZDB-GENE-060526-65],protein_coding,-0.494047886,-3.904935949,0.000587189,0.01697011,-1,ZDB-GENE-060526-65,ENSDARG00000059424,undef
ENSDARG00000017199,elp2,elongator acetyltransferase complex subunit 2 [Source:ZFIN;Acc:ZDB-GENE-060503-525],protein_coding,-0.435661084,-3.895635252,0.000601624,0.017276538,-1,ZDB-GENE-060503-525,ENSDARG00000017199,560338
ENSDARG00000043410,xkr6b,"XK, Kell blood group complex subunit-related family, member 6b [Source:ZFIN;Acc:ZDB-GENE-040724-153]",protein_coding,-0.577060463,-3.8887724689999996,0.000612499,0.017463375,-1,ZDB-GENE-040724-153,ENSDARG00000043410,792104
ENSDARG00000035538,atp6v0a2a,ATPase H+ transporting V0 subunit a2a [Source:ZFIN;Acc:ZDB-GENE-091113-4],protein_coding,-0.276312754,-3.8875411989999997,0.00061447,0.017490583,-1,ZDB-GENE-091113-4,ENSDARG00000035538,561469
ENSDARG00000076632,zdhhc12a,"zinc finger, DHHC-type containing 12a [Source:ZFIN;Acc:ZDB-GENE-081104-40]",protein_coding,-1.088103402,-3.861788377,0.000657162,0.018265054,-1,ZDB-GENE-081104-40,ENSDARG00000076632,100332332
ENSDARG00000101760,znf1016,zinc finger protein 1016 [Source:ZFIN;Acc:ZDB-GENE-110913-76],protein_coding,1.2899703340000002,3.8557550089999997,0.000667578,0.018421833000000002,1,ZDB-GENE-110913-76,ENSDARG00000101760,undef
ENSDARG00000029838,si:dkey-23a13.11,si:dkey-23a13.11 [Source:ZFIN;Acc:ZDB-GENE-160113-14],protein_coding,0.8796263240000001,3.87339869,0.000673587,0.018511643,1,ZDB-GENE-160113-14,ENSDARG00000029838,undef
ENSDARG00000070995,inpp4ab,inositol polyphosphate-4-phosphatase type I Ab [Source:ZFIN;Acc:ZDB-GENE-081104-521],protein_coding,-0.243417395,-3.848137125,0.0006809610000000001,0.018657111,-1,ZDB-GENE-081104-521,ENSDARG00000070995,792527
ENSDARG00000098284,ctxn1,cortexin 1 [Source:ZFIN;Acc:ZDB-GENE-131127-209],protein_coding,-0.531587345,-3.821514537,0.0007298319999999999,0.019460384,-1,ZDB-GENE-131127-209,ENSDARG00000098284,108181225
ENSDARG00000078736,si:dkey-93n13.3,si:dkey-93n13.3 [Source:ZFIN;Acc:ZDB-GENE-091118-107],protein_coding,0.387068725,3.803774054,0.000764292,0.020031721000000002,1,ZDB-GENE-091118-107,ENSDARG00000078736,undef
ENSDARG00000075798,usp38,ubiquitin specific peptidase 38 [Source:ZFIN;Acc:ZDB-GENE-101007-2],protein_coding,-0.281150193,-3.802870747,0.000766089,0.020065181,-1,ZDB-GENE-101007-2,ENSDARG00000075798,563778
ENSDARG00000104836,myom1b,myomesin 1b [Source:ZFIN;Acc:ZDB-GENE-080416-2],protein_coding,0.6379182,3.7829640089999996,0.000806752,0.020712252,1,ZDB-GENE-080416-2,ENSDARG00000104836,100144770
ENSDARG00000101422,hdac12,histone deacetylase 12 [Source:ZFIN;Acc:ZDB-GENE-131121-613],protein_coding,0.922998561,3.7696208280000003,0.000835185,0.021189563999999998,1,ZDB-GENE-131121-613,ENSDARG00000101422,100148903
ENSDARG00000037017,ube4b,"ubiquitination factor E4B, UFD2 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-020205-1]",protein_coding,-0.169304923,-3.7658021180000003,0.0008435010000000001,0.021318995,-1,ZDB-GENE-020205-1,ENSDARG00000037017,170784
ENSDARG00000043334,ccdc6a,coiled-coil domain containing 6a [Source:ZFIN;Acc:ZDB-GENE-030131-7848],protein_coding,-0.17448651899999998,-3.7654920769999998,0.00084418,0.021332463,-1,ZDB-GENE-030131-7848,ENSDARG00000043334,335905
ENSDARG00000098451,tmem56a,transmembrane protein 56a [Source:ZFIN;Acc:ZDB-GENE-090402-1],protein_coding,-0.303248319,-3.76401344,0.0008474239999999999,0.021390696,-1,ZDB-GENE-090402-1,ENSDARG00000098451,571836
ENSDARG00000070083,atp5f1b,ATP synthase F1 subunit beta [Source:ZFIN;Acc:ZDB-GENE-030131-124],protein_coding,-0.264921867,-3.756328571,0.0008644839999999999,0.021657477999999997,-1,ZDB-GENE-030131-124,ENSDARG00000070083,554135
ENSDARG00000091813,si:dkey-21a6.5,si:dkey-21a6.5 [Source:ZFIN;Acc:ZDB-GENE-131121-257],protein_coding,-0.433266439,-3.755933918,0.000865369,0.021671375,-1,ZDB-GENE-131121-257,ENSDARG00000091813,571530
ENSDARG00000109875,BX248389.1, ,protein_coding,-0.51203978,-3.756095953,0.000874462,0.021821787999999998,-1,undef,ENSDARG00000109875,undef
ENSDARG00000102362,slc25a12,"solute carrier family 25 (aspartate/glutamate carrier), member 12 [Source:ZFIN;Acc:ZDB-GENE-031006-11]",protein_coding,-0.230375382,-3.7476901710000003,0.000884063,0.021941858999999998,-1,ZDB-GENE-031006-11,ENSDARG00000102362,337675
ENSDARG00000063097,scube1,"signal peptide, CUB domain, EGF-like 1 [Source:ZFIN;Acc:ZDB-GENE-050302-78]",protein_coding,0.373927999,3.7455878819999997,0.0008888930000000001,0.022006998,1,ZDB-GENE-050302-78,ENSDARG00000063097,797832
ENSDARG00000091833,sv2,synaptic vesicle glycoprotein 2 [Source:ZFIN;Acc:ZDB-GENE-000607-80],protein_coding,-0.581879375,-3.742549579,0.0008959189999999999,0.022110877,-1,ZDB-GENE-000607-80,ENSDARG00000091833,570651
ENSDARG00000042525,ebf2,early B cell factor 2 [Source:ZFIN;Acc:ZDB-GENE-990715-11],protein_coding,0.357451576,3.7363085639999998,0.000910523,0.022323867999999997,1,ZDB-GENE-990715-11,ENSDARG00000042525,30692
ENSDARG00000110230,CU571168.1, ,protein_coding,0.9087998270000001,3.7346161860000002,0.000914523,0.022372725,1,undef,ENSDARG00000110230,undef
ENSDARG00000013292,tmem179,transmembrane protein 179 [Source:ZFIN;Acc:ZDB-GENE-040808-25],protein_coding,-0.25074202,-3.732502691,0.000919543,0.022447516,-1,ZDB-GENE-040808-25,ENSDARG00000013292,445310
ENSDARG00000089888,daglb,"diacylglycerol lipase, beta [Source:ZFIN;Acc:ZDB-GENE-070619-2]",protein_coding,-0.301471186,-3.718421743,0.0009536810000000001,0.022986486,-1,ZDB-GENE-070619-2,ENSDARG00000089888,565287
ENSDARG00000056165,si:ch211-215a10.4,si:ch211-215a10.4 [Source:ZFIN;Acc:ZDB-GENE-030131-5518],protein_coding,-0.20676133,-3.703667613,0.00099078,0.023551816,-1,ZDB-GENE-030131-5518,ENSDARG00000056165,565228
ENSDARG00000093448,mpc1,mitochondrial pyruvate carrier 1 [Source:ZFIN;Acc:ZDB-GENE-040718-94],protein_coding,-0.324741006,-3.700175349,0.000999766,0.023667741000000003,-1,ZDB-GENE-040718-94,ENSDARG00000093448,436671
ENSDARG00000094074,si:dkey-81h8.1,si:dkey-81h8.1 [Source:ZFIN;Acc:ZDB-GENE-060503-931],protein_coding,-0.491081734,-3.696561155,0.00100915,0.023808566,-1,ZDB-GENE-060503-931,ENSDARG00000094074,100034657
ENSDARG00000115894,zgc:194906,zgc:194906 [Source:ZFIN;Acc:ZDB-GENE-080722-43],protein_coding,1.0804023999999999,3.70690852,0.001009364,0.023811317999999998,1,ZDB-GENE-080722-43,ENSDARG00000115894,100170839
ENSDARG00000042940,nab1a,NGFI-A binding protein 1a (EGR1 binding protein 1) [Source:ZFIN;Acc:ZDB-GENE-050208-574],protein_coding,-0.358596801,-3.691378786,0.001022756,0.02400951,-1,ZDB-GENE-050208-574,ENSDARG00000042940,565795
ENSDARG00000092553,slc25a5,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:ZFIN;Acc:ZDB-GENE-020419-9]",protein_coding,-0.202479803,-3.6877174860000004,0.001032476,0.024152409,-1,ZDB-GENE-020419-9,ENSDARG00000092553,192321
ENSDARG00000020656,prkg1a,"protein kinase, cGMP-dependent, type Ia [Source:ZFIN;Acc:ZDB-GENE-040426-1308]",protein_coding,0.37464132200000005,3.6855673110000002,0.0010382260000000002,0.024256068999999998,1,ZDB-GENE-040426-1308,ENSDARG00000020656,394005
ENSDARG00000014591,ilf2,interleukin enhancer binding factor 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2345],protein_coding,-0.199841978,-3.67166198,0.001076177,0.024782282000000003,-1,ZDB-GENE-040426-2345,ENSDARG00000014591,406517
ENSDARG00000012871,npepl1,aminopeptidase like 1 [Source:ZFIN;Acc:ZDB-GENE-050417-177],protein_coding,-0.18404241100000002,-3.671054663,0.001077866,0.02480445,-1,ZDB-GENE-050417-177,ENSDARG00000012871,550383
ENSDARG00000102212,si:dkey-16p6.1,si:dkey-16p6.1 [Source:ZFIN;Acc:ZDB-GENE-081103-43],protein_coding,0.536376909,3.668824846,0.0010840860000000002,0.024888656000000002,1,ZDB-GENE-081103-43,ENSDARG00000099825,undef
ENSDARG00000069157,tmem135,transmembrane protein 135 [Source:ZFIN;Acc:ZDB-GENE-070424-70],protein_coding,-0.24970057899999998,-3.6619868710000003,0.00110338,0.025144391000000002,-1,ZDB-GENE-070424-70,ENSDARG00000069157,568244
ENSDARG00000090699,nlrb5,"NOD-like receptor family B, member 5 [Source:ZFIN;Acc:ZDB-GENE-081015-5]",protein_coding,-0.846242352,-3.660137836,0.001108654,0.025231782999999997,-1,ZDB-GENE-081015-5,ENSDARG00000090699,undef
ENSDARG00000095170,lrrfip1b,leucine rich repeat (in FLII) interacting protein 1b [Source:ZFIN;Acc:ZDB-GENE-050208-324],protein_coding,0.171757921,3.6589356489999996,0.001112097,0.02527965,1,ZDB-GENE-050208-324,ENSDARG00000095170,100321881
ENSDARG00000061660,CABZ01055347.1, ,protein_coding,-0.319111479,-3.655483171,0.001122042,0.02542562,-1,undef,ENSDARG00000061660,undef
ENSDARG00000044485,sall4,spalt-like transcription factor 4 [Source:ZFIN;Acc:ZDB-GENE-060328-2],protein_coding,0.457614798,3.6553510289999998,0.001122424,0.025429588,1,ZDB-GENE-060328-2,ENSDARG00000044485,572527
ENSDARG00000055383,zgc:66160,zgc:66160 [Source:ZFIN;Acc:ZDB-GENE-030131-5510],protein_coding,0.201513654,3.65321419,0.001128625,0.025525287,1,ZDB-GENE-030131-5510,ENSDARG00000055383,327299
ENSDARG00000076393,tmem65,transmembrane protein 65 [Source:ZFIN;Acc:ZDB-GENE-081022-99],protein_coding,-0.452396662,-3.649400415,0.0011397739999999999,0.025704009,-1,ZDB-GENE-081022-99,ENSDARG00000076393,100005403
ENSDARG00000104901,ostc,oligosaccharyltransferase complex subunit [Source:ZFIN;Acc:ZDB-GENE-040426-1079],protein_coding,-0.36419306100000004,-3.644774669,0.001153443,0.025897995,-1,ZDB-GENE-040426-1079,ENSDARG00000104901,393239
ENSDARG00000062267,kdm3b,lysine (K)-specific demethylase 3B [Source:ZFIN;Acc:ZDB-GENE-101007-4],protein_coding,-0.16478784800000001,-3.643138255,0.0011583160000000002,0.025969396000000002,-1,ZDB-GENE-101007-4,ENSDARG00000062267,326643
ENSDARG00000074170,fbxo4,F-box protein 4 [Source:ZFIN;Acc:ZDB-GENE-081104-415],protein_coding,-0.8891882520000001,-3.64159189,0.00116294,0.026032622999999998,-1,ZDB-GENE-081104-415,ENSDARG00000074170,100319387
ENSDARG00000077691,slc13a5a,"info solute carrier family 13 (sodium-dependent citrate transporter), member 5a [Source:ZFIN;Acc:ZDB-GENE-030131-4628]",protein_coding,-0.45983425,-3.638895598,0.001171045,0.026149649,-1,ZDB-GENE-030131-4628,ENSDARG00000077691,503788
ENSDARG00000089981,rnf146,ring finger protein 146 [Source:ZFIN;Acc:ZDB-GENE-030131-5997],protein_coding,-0.229804793,-3.624952359,0.001213848,0.026737999,-1,ZDB-GENE-030131-5997,ENSDARG00000089981,334065
ENSDARG00000059854,CABZ01041604.1, ,protein_coding,-0.5410009929999999,-3.622116348,0.001222739,0.026861499,-1,undef,ENSDARG00000059854,undef
ENSDARG00000053890,tmem62,transmembrane protein 62 [Source:ZFIN;Acc:ZDB-GENE-040426-1837],protein_coding,-0.29543808899999996,-3.619700269,0.001230363,0.026973895,-1,ZDB-GENE-040426-1837,ENSDARG00000053890,402997
ENSDARG00000094443,znf1036,zinc finger protein 1036 [Source:ZFIN;Acc:ZDB-GENE-110913-155],protein_coding,0.618619962,3.6180801110000003,0.0012355019999999999,0.027032971,1,ZDB-GENE-110913-155,ENSDARG00000094443,undef
ENSDARG00000112961,LO017848.1, ,protein_coding,0.6841373820000001,3.617974125,0.0012358389999999999,0.02703311,1,undef,ENSDARG00000112961,undef
